route_id,start_lat,start_lon,end_lat,end_lon,travel_days
1,-22.58277860747475,-45.48930535198855,41.39969597819467,49.73204461398262,4
2,81.12857515378491,-60.151645356694814,-56.78784079223192,-14.65471672769047,1
3,41.75890952605292,-116.58459149897038,-27.60485501342049,167.2194689510187,1
4,17.758527155466595,38.61600123653565,29.390514634407282,-101.16775764567426,4
5,-61.916644720361425,-8.415302216893593,-3.2239179855936158,31.628309759618645,3
6,-61.92098633948352,131.6523572366413,42.942786954280876,72.07560539648014,1
7,-79.5449498097241,-168.44055102645902,83.01742222011475,117.20321616433739,3
8,65.91170623948832,51.792453919845485,-69.02159621126445,-33.49042904591744,2
9,18.20070211377758,94.66159626416203,37.72218895165096,67.29188675669334,3
10,37.45306400328819,93.41516490779054,-48.538051986219386,-70.8474703016582,2
11,-86.29479102675556,138.98662815438905,-15.394189066637537,-23.2286067497447,2
12,84.58377338915898,82.45214741861787,-84.08470935687484,142.42576723322372,4
13,59.839675344075914,154.0116221931707,-65.5366711873142,161.96673935914356,4
14,-51.77896007791029,-60.24362406447908,-32.440087971198054,78.77424489381531,2
15,-57.27150590272189,1.155390030555509,-28.44255504816271,-45.2333193205734,4
16,-56.98718822638191,-174.93132121815935,71.92533896317724,115.22080439087904,1
17,-35.23639626728321,-177.49526857081517,43.52632366797272,-170.68785057884872,1
18,4.456157693802808,-93.55441663745285,84.9929342736674,-143.01147220580842,3
19,-12.249896644419167,-143.7094090299293,17.83287186034329,58.09454509513,2
20,-37.57875476435245,-86.3239075431287,-46.49152822356277,-75.15051290277933,3
21,20.133521050028307,-116.26441396977694,-31.022094614104283,162.499038624172,2
22,-64.89110508263246,-169.73279105808663,-32.42953380744593,-23.018179646770307,2
23,-37.41396326366073,147.34949270617778,-31.231021020614712,-25.42866465989627,3
24,-24.0548682071355,-177.03967269999904,31.133551160126814,64.10862366873525,3
25,-7.907402840933528,84.98957196135075,5.545427056274917,96.32468243022828,3
26,51.33167305074244,-125.22676070897404,-20.623647944404027,-8.798854274950855,3
27,-54.058719211495244,148.40266391985602,-63.16384162883101,-102.95967538377931,1
28,2.562198914450093,141.40653825235887,-86.01495067041374,98.39111138122377,2
29,16.63462239516764,55.40441269293265,-50.60975803421533,-64.67354104549408,4
30,-81.63892571040041,62.00429392821786,-70.65514728563737,-116.96012305421127,2
